,word1,word2,similarity
0,take,remove,6.81
1,walk,trail,4.81
2,feed,starve,1.49
3,shine,polish,7.8
4,calculate,add,5.98
5,cheat,sneak,3.65
6,pardon,forgive,8.96
7,smell,sniff,7.97
8,plow,dig,6.64
9,believe,pretend,1.66
10,tap,pat,6.97
11,condemn,kill,3.65
12,crunch,crack,3.65
13,erode,destroy,6.34
14,try,practice,4.65
15,tear,fold,0.66
16,replace,move,1.49
17,respond,ignore,0.83
18,rationalize,argue,4.48
19,laugh,sing,1.99
20,attack,sneak,1.66
21,descend,go,3.32
22,decompose,dissolve,6.14
23,miss,catch,0
24,yell,accuse,1.99
25,feel,touch,7.8
26,connect,separate,1.49
27,decay,deteriorate,8.13
28,protect,defend,7.8
29,bake,broil,5.98
30,remove,detach,7.47
31,describe,define,7.97
32,drive,walk,1.49
33,build,grow,4.81
34,decay,decompose,8.3
35,cover,protect,6.81
36,dislike,ignore,3.15
37,forget,recall,0.33
38,comprehend,learn,7.3
39,reflect,look,4.15
40,defeat,beat,8.47
41,know,inform,1.99
42,remind,repeat,5.31
43,go,let,2.82
44,dislike,disown,3.82
45,go,advance,6.64
46,produce,reproduce,5.98
47,recommend,assist,4.15
48,shake,shiver,6.31
49,take,carry,5.64
50,accomplish,succeed,8.3
51,drive,operate,4.98
52,ask,tell,0.66
53,gather,reap,5.98
54,bend,break,4.65
55,tear,break,6.14
56,jump,skip,5.48
57,agree,admit,3.98
58,give,bring,4.98
59,go,move,6.31
60,kill,shoot,5.31
61,crunch,chew,6.47
62,carry,tow,4.98
63,sing,hum,5.98
64,dismay,upset,6.64
65,shun,ignore,8.63
66,believe,know,3.65
67,hurt,smash,4.65
68,prefer,hate,1
69,cook,bake,7.8
70,reprimand,yell,4.48
71,break,destroy,8.3
72,hit,slap,7.97
73,wrap,tie,5.31
74,upset,frustrate,7.64
75,show,preview,5.64
76,accuse,tell,2.49
77,hate,disown,4.48
78,pounce,bounce,2.99
79,respect,like,5.48
80,sell,purchase,2.16
81,put,take,1.49
82,charge,cover,1.66
83,melt,freeze,0.17
84,agree,differ,1.16
85,flap,fold,2.16
86,die,survive,0.15
87,pull,lift,2.82
88,hitch,ride,4.48
89,live,let,1.99
90,sow,plow,2.32
91,destroy,kill,7.8
92,obtain,get,9.3
93,buy,sell,0
94,deposit,put,6.47
95,rise,wake,8.3
96,pray,kneel,1.83
97,jump,climb,1.99
98,rescue,survive,1.16
99,succeed,overcome,6.97
100,look,examine,8.3
101,delay,pause,8.13
102,take,use,3.15
103,color,decorate,4.48
104,get,achieve,6.31
105,drink,intoxicate,4.23
106,die,deteriorate,2.49
107,treat,buy,4.98
108,dump,waste,5.98
109,learn,evaluate,3.65
110,know,meet,2.82
111,compete,finish,4.98
112,sing,rap,5.58
113,beat,kill,3.65
114,thaw,melt,8.47
115,kidnap,capture,7.8
116,gulp,slurp,4.98
117,walk,jog,4.32
118,think,presume,3.49
119,say,speak,9.3
120,tend,help,7.47
121,see,meet,5.31
122,preview,look,7.3
123,forget,decay,0.83
124,kick,punch,1.66
125,claim,take,5.15
126,sell,borrow,0.66
127,confuse,understand,0.5
128,want,crave,7.64
129,veer,look,1.16
130,persuade,discourage,1.66
131,arrive,depart,1
132,skip,miss,7.14
133,talk,describe,5.15
134,take,acquire,6.31
135,perform,entertain,7.14
136,wipe,wash,4.81
137,pray,hope,6.97
138,decline,lower,3.32
139,determine,understand,6.31
140,sting,prick,6.31
141,search,seek,9.63
142,disprove,dislike,8.3
143,pull,detach,4.32
144,disbelieve,believe,0.33
145,lean,fall,2.16
146,get,grab,6.31
147,control,hold,5.15
148,alter,change,9.63
149,kidnap,take,5.98
150,disturb,interrupt,8.63
151,seem,appear,7.64
152,repeat,do,2.99
153,compose,create,8.13
154,justify,prove,6.31
155,separate,combine,0.5
156,disintegrate,melt,5.15
157,have,hold,4.81
158,kill,live,0.33
159,descend,lower,7.64
160,disprove,agree,0.33
161,run,hurry,5.98
162,reap,gain,6.97
163,rub,hold,1.49
164,finish,start,0.5
165,pull,tow,7.3
166,swap,give,3.17
167,annoy,aggravate,8.13
168,deteriorate,disappear,3.92
169,hike,trail,5.48
170,compute,add,6.14
171,pull,strain,3.65
172,assault,hit,8.13
173,inhale,breathe,7.97
174,sneak,lie,5.48
175,brush,paint,6.97
176,want,get,2.16
177,create,imagine,4.81
178,travel,move,6.47
179,desire,need,5.13
180,rationalize,think,7.47
181,hide,deny,4.48
182,increase,raise,8.13
183,talk,criticize,2.66
184,determine,discover,5.64
185,think,realize,5.15
186,boom,crash,6.31
187,replace,fix,2.11
188,fall,dive,4.15
189,hold,reserve,6.31
190,implode,explode,3.15
191,sprain,strain,5.98
192,respond,speak,7.3
193,regret,forget,0.83
194,travel,go,7.97
195,flee,fight,0.91
196,soak,bleach,2.99
197,accept,allow,6.94
198,add,reduce,0.33
199,save,deposit,5.48
200,jump,dive,5.15
201,hurt,prick,4.32
202,hide,repress,6.64
203,bring,carry,4.98
204,get,ask,2.49
205,spin,turn,6.97
206,overflow,fill,3.98
207,offend,bother,6.14
208,break,replace,0.5
209,run,hide,1
210,start,begin,8.8
211,spoil,perish,4.81
212,weave,drive,0.91
213,prepare,cook,6.14
214,pretend,imitate,4.65
215,lose,forget,4.07
216,hunt,kill,6.81
217,let,allow,8.8
218,look,appear,4.98
219,tug,jerk,7.14
220,dive,swim,4.32
221,dance,sway,3.82
222,whisper,yell,0.83
223,salute,acknowledge,4.65
224,become,make,4.15
225,scare,surprise,5.31
226,sway,move,6.81
227,go,send,1.49
228,float,drift,7.3
229,move,shift,7.55
230,reprimand,correct,6.31
231,leave,evacuate,7.47
232,clench,hold,6.64
233,concentrate,wander,0.5
234,suppose,guess,7.14
235,split,leave,2.99
236,get,put,1.33
237,receive,send,2.32
238,begin,introduce,4.32
239,call,yell,7.64
240,cook,mix,3.49
241,ridicule,tease,8.47
242,associate,connect,6.97
243,entertain,enjoy,2.32
244,reply,respond,9.79
245,attack,beat,7.8
246,evict,throw,3.15
247,crackle,pop,3.15
248,sew,rip,0.83
249,call,respond,5.15
250,lose,find,0
251,reject,accept,0.83
252,run,evacuate,4.15
253,hurry,rush,9.79
254,defend,prosecute,0.33
255,convince,lie,1.49
256,lower,degrade,7.8
257,enjoy,relax,5.81
258,disintegrate,dissolve,8.13
259,introduce,show,6.14
260,want,yearn,7.64
261,remark,talk,5.81
262,float,drown,0.66
263,sit,lie,3.32
264,die,drown,4.81
265,combine,integrate,8.47
266,appear,see,3.65
267,smear,wipe,6.31
268,insult,offend,8.13
269,aggravate,irritate,8.3
270,flow,pour,5.31
271,play,swing,3.15
272,demand,need,2.82
273,drip,sink,1.99
274,confess,lie,1.83
275,remember,retain,8.63
276,sink,float,0.33
277,remind,think,3.32
278,tell,instruct,6.97
279,take,replace,1.16
280,destroy,demolish,9.13
281,fade,bleach,4.48
282,run,escape,4.65
283,abuse,neglect,6.64
284,take,choose,3.82
285,fly,launch,4.32
286,remember,recall,9.13
287,tell,talk,8.3
288,boil,fry,3.32
289,vacate,leave,8.63
290,keep,hold,6.14
291,testify,confess,4.81
292,delay,wait,5.48
293,yawn,stretch,2.32
294,make,compose,7.3
295,make,do,4.15
296,drink,vomit,0.15
297,grill,burn,2.99
298,grab,hold,7.97
299,smoke,cough,2.66
300,reappear,vanish,1.49
301,think,pause,4.48
302,help,participate,6.14
303,fight,kill,4.15
304,rise,lift,7.47
305,swap,change,7.97
306,crawl,climb,2.32
307,see,hear,1.99
308,win,fight,2.49
309,leap,fall,1.66
310,strike,blow,7.3
311,beat,hurt,5.64
312,go,flee,6.14
313,blend,mix,8.3
314,meet,attend,3.82
315,fall,rise,0.33
316,help,assist,8
317,climb,fall,1.49
318,burn,melt,5.81
319,borrow,beg,2.66
320,give,beg,0.66
321,let,release,4.65
322,increase,add,7.97
323,unload,carry,1.49
324,talk,debate,5.81
325,describe,write,3.65
326,hear,tell,0.83
327,doze,nap,8.8
328,stab,shoot,1.83
329,grasp,understand,8.47
330,destroy,repair,0.83
331,accept,deny,1
332,combine,join,7.47
333,join,gather,5.15
334,deny,reject,8.3
335,bend,turn,3.32
336,evict,move,2.66
337,tell,testify,4.98
338,define,mean,5.15
339,triumph,defeat,4.65
340,stop,whistle,0.33
341,die,crash,2.82
342,realize,discover,7.14
343,guess,try,2.32
344,rub,grate,5.15
345,drag,pull,7.3
346,spell,speak,2.16
347,remove,evict,6.14
348,win,award,3.98
349,hide,bury,5.31
350,gain,get,8.63
351,forgive,regret,1.16
352,hide,find,1.66
353,relax,stretch,3.65
354,see,squint,3.15
355,flee,escape,9.79
356,jerk,prick,0.5
357,wear,erode,3.32
358,waste,throw,2.66
359,bury,forget,3.98
360,frustrate,annoy,8.3
361,learn,teach,2.82
362,come,bring,1.83
363,wait,stay,6.47
364,burst,laugh,2.16
365,look,inspect,8.96
366,portray,play,5.81
367,lose,defeat,2.32
368,steal,rob,9.46
369,transplant,remove,3.49
370,speak,listen,0.66
371,think,compute,5.81
372,punish,deny,2.99
373,solve,compute,5.15
374,organize,prepare,7.3
375,overflow,spill,7.14
376,disperse,spread,9.3
377,ask,suggest,4.32
378,walk,talk,1.33
379,toast,burn,5.64
380,haunt,scare,6.19
381,drink,gulp,6.47
382,protect,help,5.15
383,admit,give,2.32
384,stay,come,1
385,win,finish,4.48
386,condemn,hate,5.64
387,lean,sway,6.14
388,kill,annihilate,8.13
389,want,hope,5.15
390,slide,show,0.66
391,scream,squeal,7.97
392,join,integrate,7.8
393,permit,deny,0.5
394,choke,swallow,0.5
395,smell,perspire,1.49
396,keep,snatch,1.83
397,engage,go,6.14
398,sprinkle,pour,2.66
399,save,restore,2.82
400,do,perform,7.47
401,develop,create,8.3
402,supply,give,6.97
403,get,have,7.64
404,look,observe,9.3
405,earn,gain,6.31
406,dunk,drown,5.64
407,seize,control,4.48
408,ponder,reflect,7.55
409,rap,speak,3.49
410,change,replace,6.81
411,prohibit,stop,7.14
412,build,destroy,0.5
413,choose,elect,8.47
414,survive,struggle,3.32
415,crash,wreck,6.64
416,release,go,3.82
417,decrease,lower,9.13
418,leave,escape,5.64
419,regret,worry,5.31
420,hold,hug,7.64
421,push,urge,6.64
422,run,charge,5.15
423,drift,move,5.31
424,mow,plow,4.32
425,rinse,wash,7.64
426,make,develop,6.14
427,visit,travel,6.31
428,receive,give,0.66
429,print,press,5.31
430,dismiss,go,2.99
431,express,tell,5.98
432,break,connect,0.33
433,veer,move,3.98
434,fade,perish,6.47
435,glance,stare,2.49
436,hate,respect,0.17
437,doubt,disbelieve,8.8
438,persuade,ask,4.15
439,beat,mistreat,5.64
440,lie,deceive,9.3
441,scribble,draw,8.13
442,grab,release,0.33
443,comfort,relax,5.15
444,sweat,shiver,1.16
445,exist,die,1.16
446,strive,try,7.47
447,perceive,understand,8.3
448,squeeze,crush,7.3
449,solve,find,6.14
450,show,dance,2.82
451,entertain,sing,5.98
452,stretch,pull,6.47
453,adjourn,finish,7.97
454,think,determine,3.82
455,soothe,console,8.3
456,disturb,awake,5.43
457,finish,diminish,3.15
458,talk,pray,2.49
459,stop,hamper,4.98
460,leap,hop,6.31
461,tear,demolish,4.98
462,blow,pop,2.49
463,accept,refuse,1.83
464,return,recall,4.81
465,teach,educate,9.63
466,believe,accept,5.64
467,attack,kill,4.23
468,save,reserve,6.97
469,inspect,find,5.31
470,demolish,wreck,9.3
471,tell,suggest,3.65
472,gamble,win,2.66
473,reflect,see,4.15
474,split,crack,7.97
475,gain,learn,3.98
476,understand,comprehend,9.79
477,console,help,4.81
478,pay,buy,5.48
479,deliver,take,2.49
480,comprehend,perceive,5.43
481,sneak,slither,4.81
482,restore,repair,8.47
483,buy,purchase,9.46
484,make,reproduce,5.81
485,punish,forbid,2.32
486,watch,examine,7.24
487,perspire,sweat,9.63
488,judge,condemn,6.47
489,move,stay,0.5
490,nag,complain,8.13
491,listen,learn,1.33
492,retreat,hide,5.81
493,remove,add,0.17
494,assume,presume,5.81
495,acknowledge,admit,6.81
496,reject,dislike,6.97
497,obey,command,2.16
498,win,play,1.16
499,stain,smudge,4.81
500,remember,realize,5.64
501,assault,attack,8.63
502,tumble,fall,8.3
503,drink,lounge,1.33
504,abuse,hurt,6.97
505,fight,tackle,3.82
506,disturb,upset,5.98
507,push,shun,2.49
508,help,criticize,0.66
509,permit,disallow,1.66
